course_code,course_names,years_seen,grades_seen,semesters_seen,four_year_anchor_years,six_year_anchor_years,grade_1_2_years,four_year_evidence_count,six_year_evidence_count,anchor_generation,evidence_summary
ADB098,지역약국 필수실무실습2,2022;2023;2024,6,2,,,,0,0,unresolved,
ADB099,심화실습 1,2022;2023;2024,6,2,,,,0,0,unresolved,
ADB100,심화실습 2,2022;2023;2024,6,2,,,,0,0,unresolved,
ADB101,해부생리학1,2023;2024;2025,1,1,,2023;2024;2025,2023;2024;2025,0,6,six_year,grade_1_2_rule:2023;2024;2025;unique_6year_flowchart_match:2023;2024;2025
ADB102,해부생리학2,2023;2024;2025,1,2,,2023;2024;2025,2023;2024;2025,0,6,six_year,grade_1_2_rule:2023;2024;2025;unique_6year_flowchart_match:2023;2024;2025
ADB103,항암약물요법1,2024;2025,5,1,,2024;2025,,0,2,six_year,unique_6year_flowchart_match:2024;2025
ADB104,신경정신계질환 약물치료학,2024;2025,5,1,,2024;2025,,0,2,six_year,unique_6year_flowchart_match:2024;2025
ADB105,의약품개발사,2024;2025,2,2,,2024;2025,2024;2025,0,4,six_year,grade_1_2_rule:2024;2025;unique_6year_flowchart_match:2024;2025
ADB106,법화학,2024;2025,3,2,,2024;2025,,0,2,six_year,unique_6year_flowchart_match:2024;2025
ADB107,항암약물요법2,2024;2025,5,2,,2024;2025,,0,2,six_year,unique_6year_flowchart_match:2024;2025
ADB108,신장질환약물치료학,2024;2025,5,1,,2024;2025,,0,2,six_year,unique_6year_flowchart_match:2024;2025
ADB109,정신신경계질환 약물치료학,2025,4,1,,,,0,0,unresolved,
ADB111,제제과학의실습,2025,4,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB112,생약학개론,2025,3,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB113,유용천연물소재학,2025,3,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
