academic_year,grade,semester,course_name,course_code,completion_type,credits,generation_evidence,generation_evidence_reason,in_4year_flowchart,in_6year_flowchart,grade_1_2_rule,direct_4year_evidence,direct_6year_evidence,pdf_position_group_size,partner_codes,lineage_candidate,lineage_pair_status,lineage_reason,previous_year,previous_generation,next_year,next_generation,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,relation_as_old,relation_as_new,relation_types,relation_counterpart_codes,relation_counterpart_names,relation_designation_years,relation_source_years,relation_needs_review,partner_relation_found,partner_relation_types,partner_relation_counterparts,partner_relation_designation_years,partner_relation_source_years,evidence_flags,review_priority
2022,4,1,향장품학,ADA120,전선,2,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADB043,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,1,향장품학,ADB043,전선,2,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADA120,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,2,감염미생물학,ADA208,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,ADA105,감염성 미생물학,2019,2023,no,no,,,,,no_direct_generation;official_course_relation,high
2022,4,2,감염성 질환 약물치료학,ADB069,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,보건의약관계법규,ADB064,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,생약학 2,ADA055,전필,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,약물학 2,ADA001,전필,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,약학실험 4,ADA192,전필,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA094,약학실습4,2017,2023,no,no,,,,,direct_generation_evidence;official_course_relation,low
2022,4,2,약학실험5,ADB067,전필,1,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2022,4,2,예방약학2,ADB055,전필,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,의약정보학과 경제성평가,ADB073,전필,2,unresolved,no_direct_flowchart_evidence,no,no,no,no,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,no_direct_generation,medium
2022,4,2,제제과학 2,ADA187,전필,3,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,1,equivalent,ADA010,제제공학,2017,2023,no,no,,,,,direct_generation_evidence;official_course_relation,low
2022,4,2,바이오의약품 분석,ADB060,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,바이오의약품학,ADB056,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,법과학,ADB061,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,생물약제학,ADB057,전선,2,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADA033,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,2,생물약제학,ADA033,전선,2,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADB057,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,2,심혈관계 질환 약물치료학,ADA136,전선,3,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,약물동태학,ADA086,전선,2,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADB058,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,2,약물동태학,ADB058,전선,3,ambiguous,multiple_pdf_rows_match_both_flowcharts,yes,yes,no,no,no,2,ADA086,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,2025,six_year,,,,,,,,,,,,0,0,,,,,,,no,,,,,ambiguous_position,medium
2022,4,2,약사윤리,ADB065,전선,1,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,약용식물학,ADA203,전선,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,의약정보학과 커뮤니케이션,ADA204,전선,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,ADA142,의약정보학,2018,2023,no,no,,,,,direct_generation_evidence;official_course_relation,low
2022,4,2,의약품설계학,ADB066,전선,3,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,의약화학2,ADB059,전선,2,both,unique_pdf_row_matches_both_flowcharts,yes,yes,no,yes,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,임상생화학,ADA183,전선,1,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,임상약학 해설,ADA137,전선,1,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,4,2,호흡기계 및 소화기계 질환 약물치료학,ADB071,전선,2,six_year,unique_pdf_row_matches_6year_flowchart,no,yes,no,no,yes,1,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,no,,,,,direct_generation_evidence,low
2022,5,1,감염질환을 위한 항생물질학,ADA209,전필,2,four_year,unique_pdf_row_matches_4year_flowchart,yes,no,no,yes,no,1,,,,,,,,,,,,,,,,,,,,0,2,equivalent;substitute,ADA073,항생물질학,2019,2023,no,no,,,,,direct_generation_evidence;official_course_relation,low
