academic_year,grade,semester,course_name,course_code,completion_type,credits,original_decision_status,original_generation,scenario_a_generation,scenario_a_reason,scenario_b_generation,scenario_b_reason,manual_override,manual_override_reason,final_action,final_generation,final_reason,baseline_included
2023,3,2,약품분석화학 2,ADA074,전필,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,약품생화학 2,ADA012,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,약학실험 2,ADA195,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,의약품합성학,ADA198,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,바이러스학,ADA189,전선,3,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2023,3,2,병태생리학,ADA006,전선,4,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,신경생리학,ADA092,전선,1,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2023,3,2,약품기기분석학,ADA196,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,의약분자생물학,ADA181,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,의약품설계학,ADA197,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,자원생약학,ADA228,전선,3,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2023,4,1,보건사회약학,ADA193,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,4,1,생약학 1,ADA065,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,4,1,약물학 1,ADA030,전필,4,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,4,1,약품 미생물학,ADA104,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,4,1,약학실험 3,ADA184,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,4,1,의약화학 1,ADA102,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
