entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,5,1,지역약국 예비실무실습,ADA115,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,지역약국 예비실무실습,ADB075,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,항암약물요법,ADB070,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,항암약물요법 및 일반의약품약물요법,ADA202,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,항암약물요법1,ADB103,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,방제학,ADB078,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,신경정신계질환 및 신장질환 약물치료학,ADA144,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,신경정신계질환 약물치료학,ADB104,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,신장질환약물치료학,ADB108,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,약물신호전달학,ADB079,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,약업경영학,ADB074,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,예방약학 1,ADA132,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,의약품제조관리학,ADA171,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,의약품제조관리학,ADB072,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,일반의약품학,ADB084,전선,3,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,임상미생물학,ADA211,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,임상약물동태학,ADA150,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,1,호흡기계 및 소화기계 질환 약물치료학,ADA145,전선,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,2,감염성 질환 약물치료학,ADA147,전필,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,2,내분비계 및 류마티스 질환 약물치료학,ADA148,전필,2,source=2024학년도_약학과_교육과정.pdf; page=12,,,,,,,,,,,
,5,2,보건의약관계법규,ADA194,전필,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,약무행정실무필수실습,ADA174,전필,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,약무행정실무필수실습,ADB087,전필,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,의료기관약국예비실습,ADB086,전필,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,임상면역학,ADA190,전필,3,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,임상약학 해설,ADB083,전필,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,한약제제학,ADB080,전필,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,한약제제학,ADA140,전필,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,건강기능식품학,ADA182,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,독성학,ADA045,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,동물용의약품학,ADA121,전선,1,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,동물용의약품학,ADB089,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,바이오의약품학,ADA225,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,신약개발임상시험,ADA191,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,신약개발정보학,ADB090,전선,2,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,심혈관계 질환 약물치료학,ADB082,전선,3,source=2024학년도_약학과_교육과정.pdf; page=13,,,,,,,,,,,
,5,2,약업경영학,ADA118,전선,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,약전 및 품질관리학,ADA167,전선,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,약전 및 품질관리학,ADB081,전선,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,예방약학 2,ADA109,전선,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,의약품허가,ADB088,전선,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,조제학,ADA053,전선,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,5,2,항암약물요법2,ADB107,전선,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습 1,ADA213,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습 2,ADA214,전필,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습 3,ADA215,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습 4,ADA216,전필,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,source=2024학년도_약학과_교육과정.pdf; page=14,,,,,,,,,,,
,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,source=2024학년도_약학과_교육과정.pdf; page=15,,,,,,,,,,,
