entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,decision_status,provisional_generation,decision_reason,generation_evidence,generation_evidence_reason,lineage_candidate,lineage_pair_status,lineage_reason,continuity_candidate,continuity_strength,continuity_status,continuity_reason,official_relation,relation_types,relation_counterpart_codes,relation_counterpart_names
,6,1,제약산업 필수실무실습,ADB097,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,제약산업 필수실무실습,ADA218,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA155,제약산업실무필수실습
,6,1,지역약국 필수실무실습 1,ADA219,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA153,지역약국실무필수실습1
,6,1,지역약국 필수실무실습1,ADB092,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 1,ADA226,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 1,ADB099,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 2,ADB100,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,심화실습 2,ADA227,전필,5,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,2,지역약국 필수실무실습 2,ADA220,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA154,지역약국실무필수실습2
,6,2,지역약국 필수실무실습2,ADB098,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
