academic_year,semester,course_code,course_name,completion_type,credits,recommended_year,department
2022,1,ADB003,"약학기초화학1","전선",3.0,1,"약학과"
2023,1,ADB003,"약학기초화학1","전선",3.0,1,"약학과"
2024,1,ADB003,"약학기초화학1","전선",3.0,1,"약학과"
2025,1,ADB003,"약학기초화학1","전선",3.0,1,"약학과"
2026,1,ADB003,"약학기초화학1","전선",3.0,1,"약학과"
2022,2,ADB006,"약학기초화학2","전선",3.0,1,"약학과"
2023,2,ADB006,"약학기초화학2","전선",3.0,1,"약학과"
2024,2,ADB006,"약학기초화학2","전선",3.0,1,"약학과"
2025,2,ADB006,"약학기초화학2","전선",3.0,1,"약학과"
2026,2,ADB006,"약학기초화학2","전선",3.0,1,"약학과"
2022,1,ADA201,"약학실험 1","전필",2.0,3,"약학과"
2023,1,ADA201,"약학실험 1","전필",2.0,3,"약학과"
2022,2,ADA195,"약학실험 2","전필",2.0,3,"약학과"
2023,2,ADA195,"약학실험 2","전필",2.0,3,"약학과"
2022,1,ADA184,"약학실험 3","전필",2.0,4,"약학과"
2023,1,ADA184,"약학실험 3","전필",2.0,4,"약학과"
2024,1,ADA184,"약학실험 3","전필",2.0,4,"약학과"
2022,2,ADA192,"약학실험 4","전필",2.0,4,"약학과"
2023,2,ADA192,"약학실험 4","전필",2.0,4,"약학과"
2024,2,ADA192,"약학실험 4","전필",2.0,4,"약학과"
2023,1,ADB013,"약학실험1","전필",2.0,2,"약학과"
2024,1,ADB013,"약학실험1","전필",2.0,2,"약학과"
2025,1,ADB013,"약학실험1","전필",2.0,2,"약학과"
2026,1,ADB013,"약학실험1","전필",2.0,2,"약학과"
2023,2,ADB022,"약학실험2","전필",2.0,2,"약학과"
2024,2,ADB022,"약학실험2","전필",2.0,2,"약학과"
2025,2,ADB022,"약학실험2","전필",2.0,2,"약학과"
2026,2,ADB022,"약학실험2","전필",2.0,2,"약학과"
2024,1,ADB031,"약학실험3","전필",2.0,3,"약학과"
2025,1,ADB031,"약학실험3","전필",2.0,3,"약학과"
2026,1,ADB031,"약학실험3","전필",2.0,3,"약학과"
2024,2,ADB041,"약학실험4","전필",2.0,3,"약학과"
2025,2,ADB041,"약학실험4","전필",2.0,3,"약학과"
2026,2,ADB041,"약학실험4","전필",2.0,3,"약학과"
2025,2,ADB067,"약학실험5","전필",1.0,4,"약학과"
2026,2,ADB067,"약학실험5","전필",1.0,4,"약학과"
2023,2,ADB076,"약학용어","전선",1.0,4,"약학과"
2024,2,ADB076,"약학용어","전필",1.0,3,"약학과"
2025,2,ADB076,"약학용어","전필",1.0,3,"약학과"
2026,2,ADB076,"약학용어","전필",1.0,3,"약학과"
2022,1,ADA051,"약학통계","전선",2.0,3,"약학과"
2023,1,ADA051,"약학통계","전선",2.0,3,"약학과"
2023,1,ADB012,"약학통계","전필",2.0,2,"약학과"
2024,1,ADB012,"약학통계","전필",2.0,2,"약학과"
2025,1,ADB012,"약학통계","전필",2.0,2,"약학과"
2026,1,ADB012,"약학통계","전필",2.0,2,"약학과"
2022,1,ADA080,"약화학","전선",3.0,3,"약학과"
2023,1,ADA080,"약화학","전선",3.0,3,"약학과"
2023,1,ADB009,"약화학 1","전선",3.0,2,"약학과"
2024,1,ADB009,"약화학 1","전필",3.0,2,"약학과"
2025,1,ADB009,"약화학 1","전필",3.0,2,"약학과"
2026,1,ADB009,"약화학 1","전필",3.0,2,"약학과"
2023,2,ADB018,"약화학 2","전필",3.0,2,"약학과"
2024,2,ADB018,"약화학 2","전선",3.0,2,"약학과"
2025,2,ADB018,"약화학 2","전선",3.0,2,"약학과"
2022,1,ADA132,"예방약학 1","전선",2.0,5,"약학과"
2023,1,ADA132,"예방약학 1","전선",2.0,5,"약학과"
2024,1,ADA132,"예방약학 1","전선",2.0,5,"약학과"
2025,1,ADA132,"예방약학 1","전선",2.0,5,"약학과"
2022,2,ADA109,"예방약학 2","전선",3.0,5,"약학과"
2023,2,ADA109,"예방약학 2","전선",3.0,5,"약학과"
2024,2,ADA109,"예방약학 2","전선",3.0,5,"약학과"
2025,2,ADA109,"예방약학 2","전선",3.0,5,"약학과"
2025,1,ADB044,"예방약학1","전필",3.0,4,"약학과"
2026,1,ADB044,"예방약학1","전필",3.0,4,"약학과"
